Method,Annualized Return,Annualized Volatility,Sharpe Ratio,Calmar Ratio
MVO,0.5634,0.7761,0.7259,0.7261
RP,0.8158,1.1232,0.7263,1.1676
HRP,0.9844,1.4746,0.6676,1.4144
